CID,bd_in_2,FC_5_N3_0_H1_1_/_1_/_0_0,C4_2_N3_2_1,dg_in_1,FC_11_C4_0_Cl1_1_/_1_/_0_0,na_in_O2,C4_2_C4_4_1,FC_27_N3_0_H1_1_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0,N3_2_S6_4_1,FC_29_C4_0_C4_1_F1_2_F1_2_F1_2_/_1_1_1_1_/_0_0_0_0_0,na_ex_Br1,C4_2_O2_2_1,FC_3_C4_0_H1_1_H1_1_/_1_1_/_0_0_0,na_ex_F1,FC_21_C4_0_H1_1_C4_1_H1_2_H1_2_H1_2_C4_1_O2_2_O2_2_H1_3_/_1_1_1_1_1_1_2_1_1_/_0_0_0_0_0_0_0_0_0_0,C4_3_N3_3_1,FC_44_C4_0_N3_1_C4_2_H1_3_H1_3_H1_3_/_2_1_1_1_1_/_0_0_0_0_0_0,C4_2_S2_2_1,N3_2_N3_2_2,LeafAC_O2_C4_2
7005,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0
79858,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0,0.0,0,0.0,0,0.25
10894,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0
81814,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0,0.0,0,0.0,0,0.25
1983,0.3,0.0,0.0,0.5,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.25
1986,0.2,0.0,0.0,0.5,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.25
2119,0.3,0.0,0.5,1.0,0.0,0.5,0.0,1,0,0,0,0.5,0.285714,0.0,0,0.0,0,0.0,0,0.0
2130,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0.0,0.857143,0.0,0,0.0,0,0.0,0,0.0
2160,0.7,0.0,0.0,0.5,0.0,0.0,0.0,0,0,0,0,0.0,0.428571,0.0,0,0.0,0,0.0,0,0.0
2165,0.8,0.333333,0.5,0.5,0.25,0.0,0.0,0,0,0,0,0.0,0.142857,0.0,0,0.0,0,0.0,0,0.0
174174,0.3,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0,0,0.0,0.571429,0.0,0,0.4,0,0.0,0,0.25
2265,0.6,0.333333,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.2,0,0.0,0,0.0
77918,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.142857,0.0,0,0.0,0,0.0,0,0.0
2474,0.3,0.333333,0.0,0.5,0.0,0.0,0.0,0,0,0,0,0.0,0.714286,0.0,0,0.2,0,0.0,0,0.25
2581,0.6,0.333333,0.0,0.5,0.25,0.0,0.0,0,0,0,0,0.0,0.0,0.0,1,0.0,0,0.0,0,0.25
2585,0.9,0.666667,1.0,0.0,0.0,1.0,0.0,0,0,0,0,1.0,0.571429,0.0,0,0.0,0,0.0,0,0.0
6024,0.3,0.333333,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.5,0.428571,0.0,0,0.6,0,0.666667,0,1.0
2725,0.6,0.0,0.0,0.5,0.25,0.0,0.0,0,0,0,0,0.0,0.142857,0.0,0,0.0,0,0.0,0,0.0
2726,0.6,0.0,0.0,0.5,0.25,0.0,0.0,0,0,0,0,0.0,0.285714,0.0,0,0.4,0,0.0,0,0.0
2727,0.3,0.666667,0.5,0.5,0.25,0.0,0.0,0,1,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.25
667467,0.7,0.0,0.0,0.5,0.25,0.0,0.0,0,0,0,0,0.0,0.142857,0.0,0,0.0,0,0.0,0,0.0
2733,0.3,0.333333,0.0,0.0,0.25,0.5,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.25
2756,0.2,0.666667,1.0,0.5,0.0,0.0,0.0,0,0,0,0,0.0,0.428571,0.0,0,0.0,1,0.666667,0,0.0
2764,0.4,0.333333,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.857143,0.333333,0,0.6,0,0.0,0,0.5
71335,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.714286,0.333333,0,1.0,0,0.0,0,0.5
5195,0.3,0.0,0.0,0.5,0.0,0.0,0.0,0,0,0,0,0.0,0.142857,0.0,0,0.2,0,0.0,0,0.0
2995,0.6,0.0,0.0,0.5,0.0,0.0,0.0,0,0,0,0,0.0,0.571429,0.0,0,0.4,0,0.0,0,0.0
3019,0.4,0.333333,0.0,0.0,0.25,0.0,0.0,0,1,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0
3033,0.6,0.333333,0.0,0.5,0.5,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.25
56206,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.571429,0.666667,0,0.6,0,0.0,0,0.5
39186,0.6,0.0,0.0,1.0,0.0,0.5,0.0,0,0,0,0,0.0,0.142857,0.0,0,0.4,0,0.0,0,0.5
3100,0.6,0.0,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.5,0.142857,0.0,0,0.0,0,0.0,0,0.0
1775,0.6,0.666667,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.5
71188,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.857143,0.333333,0,0.6,0,0.0,0,0.5
5702160,0.3,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0.0,0.428571,0.0,0,0.0,0,1.0,0,0.0
3342,0.6,0.0,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,1,0.0,0,0.0,0,0.25
3371,0.6,0.333333,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0.0,0.0,1.0,0,0.0,0,0.0,0,0.25
3374,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.285714,0.333333,0,0.4,0,0.0,0,0.5
3394,0.6,0.0,0.0,0.5,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.333333,1,0.0,0,0.0,0,0.25
3478,0.6,1.0,1.0,0.0,0.0,0.0,0.0,0,1,0,0,0.0,1.0,0.0,0,0.0,0,0.0,0,0.5
135398634,0.3,0.666667,0.5,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.25
3608,0.1,0.333333,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.571429,0.0,0,0.4,0,0.0,0,0.75
3647,0.3,0.666667,1.0,0.0,0.0,0.0,0.0,0,1,1,0,0.0,0.142857,1.0,0,0.0,0,0.0,0,0.0
3672,0.3,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,1,0.0,0,0.0,0,0.25
3948,0.4,0.333333,0.5,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.428571,0.666667,0,0.4,0,0.0,0,0.5
4011,0.6,0.0,0.0,0.5,0.0,0.0,0.666667,0,0,0,0,0.0,0.571429,0.0,0,0.0,0,0.0,0,0.0
4044,0.6,0.333333,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.25
4168,0.3,0.333333,0.5,0.5,0.25,0.0,0.0,0,0,0,0,0.0,0.285714,0.0,0,0.0,0,0.0,0,0.25
4173,0.2,0.0,0.5,0.5,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.4,0,0.0,0,0.0
4189,0.8,0.0,0.5,0.0,1.0,0.5,0.0,0,0,0,0,0.5,0.285714,0.0,0,0.0,0,0.0,0,0.0
4421,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.2,0,0.0,0,0.5
5284596,0.3,0.0,0.0,0.5,0.0,0.5,0.666667,0,0,0,0,0.0,0.714286,0.0,0,0.2,0,0.0,0,0.25
156391,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,1,0.0,0,0.0,0,0.25
4488,0.6,0.333333,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0.0,0.0,1.0,0,0.0,0,0.0,0,0.25
6604200,0.3,0.333333,0.0,0.0,0.0,0.5,0.0,0,0,0,0,0.0,0.142857,0.0,0,0.2,0,0.0,0,0.5
4539,0.4,0.333333,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.571429,0.333333,0,0.4,0,0.0,0,0.5
4583,0.4,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0,0,0.5,0.714286,0.333333,0,0.6,0,0.0,0,0.5
54675779,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.75
4680,0.8,0.0,0.5,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.142857,0.0,0,0.0,0,0.0,0,0.0
1318,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0
4756,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,1,0.0
4763,0.3,0.666667,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.75
4781,0.6,0.0,0.0,0.5,0.0,0.0,0.0,0,0,0,0,0.0,0.142857,0.0,0,0.8,0,0.0,0,0.5
1017,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.5
4828,0.4,0.333333,1.0,0.5,0.0,0.5,0.0,1,0,0,0,0.5,0.285714,0.0,0,0.0,0,0.0,0,0.0
54676228,0.7,0.333333,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.2,0,0.0,0,0.25
4914,0.3,0.0,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.5,0.285714,0.0,0,0.0,0,0.0,0,0.25
4946,0.5,0.0,0.5,0.5,0.0,0.5,0.0,1,0,0,0,0.5,0.285714,0.0,0,0.0,0,0.0,0,0.0
3034034,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.571429,0.0,0,0.2,0,0.0,0,0.0
3001055,0.3,0.333333,0.5,1.0,0.0,0.5,0.0,0,0,0,0,0.0,0.428571,0.0,0,0.0,0,0.666667,0,0.0
56208,0.7,0.333333,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.571429,0.666667,0,0.6,0,0.0,0,0.5
60464,0.4,0.333333,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.571429,0.666667,0,0.6,0,0.0,0,0.5
5320,0.3,0.0,0.0,0.5,0.0,0.0,0.0,0,1,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.25
5327,0.6,0.333333,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0
5339,1.0,0.333333,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0.0,0.0,0.0,0,0.0,0,0.0,1,0.25
5340,0.5,0.333333,0.5,0.0,0.0,0.0,0.0,0,1,0,0,0.0,0.0,0.0,0,0.0,0,0.333333,0,0.0
1548887,0.8,0.0,0.0,0.5,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.333333,0,0.0,0,0.0,0,0.25
5411,0.3,0.333333,0.5,1.0,0.0,0.5,0.0,0,0,0,0,0.5,0.285714,0.0,0,0.0,0,0.0,0,0.25
54675776,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.142857,0.0,0,0.0,0,0.0,0,0.75
6989,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0
5509,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.4,0,0.0,0,0.5
5560,0.3,0.666667,0.0,0.0,0.25,0.0,0.0,0,1,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0
5578,0.6,0.0,0.5,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.142857,0.0,0,0.0,0,0.0,0,0.0
5584,0.6,0.0,0.0,0.5,0.0,0.0,0.0,0,0,0,0,0.0,0.428571,0.0,0,0.4,0,0.0,0,0.0
1150,0.4,0.333333,0.5,0.5,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0
2520,0.6,0.0,0.0,0.0,0.0,0.0,0.333333,0,0,0,0,0.0,0.714286,0.0,0,0.0,0,0.0,0,0.0
54678486,0.7,0.0,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.5
