CID,na_in_C4,ms,FC_27_C4_0_H1_1_C4_1_H1_2_H1_2_O2_2_H1_3_/_1_1_1_1_1_1_/_0_0_0_0_0_0_0,FC_37_C4_0_H1_1_N3_1_H1_2_H1_2_/_1_1_1_1_/_0_0_0_0_0,FC_31_C4_0_H1_1_C4_1_H1_2_C4_2_H1_3_H1_3_/_1_1_1_2_1_1_/_0_0_0_0_0_0_0,FC_26_C4_0_C4_1_O2_2_N3_2_H1_3_H1_3_/_1_2_1_1_1_/_0_0_0_0_0_0,FC_25_C4_0_H1_1_C4_1_H1_2_H1_2_H1_2_C4_1_O2_2_O2_2_H1_3_/_1_1_1_1_1_1_2_1_1_/_0_0_0_0_0_0_0_0_0_0,na_ex_Cl1,na_ex_S6,FC_36_C4_0_O2_1_H1_2_C4_1_C4_2_H1_3_/_1_1_1_3_1_/_0_0_0_0_0_0,FC_24_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0,C4_2_S2_2_1,FC_20_C4_0_O2_1_C4_1_H1_2_H1_2_O2_2_H1_3_/_2_1_1_1_1_1_/_0_0_0_0_0_0_0,C4_3_C4_4_1,FC_43_N3_0_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,na_ex_S2,FC_54_C4_0_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_C4_1_O2_2_O2_2_H1_3_/_1_1_1_1_1_1_1_1_1_2_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0,N3_3_S6_4_1,FC_11_C4_0_H1_1_O2_1_H1_2_/_1_1_1_/_0_0_0_0,LeafAC_C4_C4_1
1986,0,0.389802,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.25
190,0.115385,0.216989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,0.269231,0.174739,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666667,0
135401907,0.115385,0.262976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
978,0.153846,0.156395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6009,0.269231,0.0749714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
4075,0.153846,0.184798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4649,0.153846,0.184798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2174,0.423077,0.160094,0,1,0,0,0,0,0,0,0,0,0,0.166667,0,0,0,0,0,0.5
2244,0.153846,0.189397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
3661,0.5,0.0604253,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3661,0.5,0.0604253,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2284,0.230769,0.165979,0,0,0,0,0,0.333333,0,0,0,0,0,0,0,0,0,0,0,0
2331,0.153846,0.124441,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2337,0.192308,0.0994231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
243,0.153846,0.161192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7095,0.384615,0.0882263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2471,0.461538,0.158331,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.25
2482,0.269231,0.0660259,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.25
7184,0.269231,0.0836277,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.25
2519,0.115385,0.157973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2537,0.192308,0,0,0,0,0,0,0,0,0,0,0,0,0.333333,0,0,0,0,0,0.75
2554,0.461538,0.144024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2673,0.461538,0.160094,0,1,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.25
2732,0.461538,0.297758,0,0,0,0,0,0.333333,1,0,0,0,0,0.333333,0,0,0,0,0,0
2733,0.192308,0.364637,0,0,0,0,0,0.333333,0,0,0,0,0,0,0,0,0,0,0,0
2756,0.192308,0.129196,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.25
2794,0.846154,0.191002,0,0,0,0,0,0.666667,0,0,0,0,0,0,0,0,0,0,0,0.5
439739,0.615385,0.0425741,0,0,0,0,0,0,0,0,0,0,1,0.666667,0,0,0,0,0.333333,0.5
521440,0.615385,0.0667659,0,0,0,0,0,0,0,0,0,0,1,0.666667,0,0,0,0,0,0.5
597,0.0769231,0.187275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2955,0.384615,0.188128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223578,0.615385,0.0309984,0,0,0,0,0,0,0,0,0,0,1,0.666667,0,0,0,0,0,0.5
3003,0.615385,0.0803199,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.333333,0.75
2140,0.153846,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
3059,0.384615,0.256608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234096,0.807692,0.00774961,0,0,0,0,0,0,0,0,0,0,0,0.833333,0,0,0,0,0.333333,1
1775,0.5,0.160915,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0
3114,0.461538,0.0417287,0,0,0,1,0,0,0,0,0,0,0,0.333333,1,0,0,0,0,1
3120,0.192308,0.262056,0,0,0,0,0,0.666667,0,0,0,0,0,0,0,0,0,0,0,0
3247,0.576923,0.0689119,0,0,0,0,0,0,0,0,0,0,0,0.333333,0,0,0,0,0,0.25
450,0.576923,0.0355507,0,0,0,0,0,0,0,0,0,0,0,0.333333,0,0,0,0,0.333333,0.25
3269,0.576923,0.0495975,0,0,0,0,0,0,0,0,0,0,0,0.333333,0,0,0,0,0.666667,0.25
698,0.576923,0.051437,0,0,0,0,0,0,0,0,0,0,0,0.333333,0,0,0,0,0,0.25
8434,0.192308,0.123343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
3285,0.576923,0.0518369,0,0,0,0,0,0,0,1,0,0,0,0.166667,0,0,0,0,0,0.25
3335,0.5,0.133098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3371,0.384615,0.240596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3366,0.0769231,0.276418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3385,0.0769231,0.335022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3394,0.423077,0.1443,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.25
135444779,0.576923,0.194266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3474,0.615385,0.195129,0,0,0,0,0,0.333333,0,0,0,0,0,0,0,0,0,0,0,0
3512,0.423077,0.190923,0,0,0,0,0,0.333333,0,0,0,0,0,0.5,0,0,0,0,0,0.25
3516,0.230769,0.092825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135398634,0.115385,0.245156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3559,0.730769,0.130797,0,0,0,0,0,0.333333,0,0,0,0,0,0.166667,0,0,0,0,0,0
3639,0.192308,0.403438,0,0,0,0,0,0.333333,1,0,0,0,0,0,0,0,0,0,0,0
3640,0.615385,0.0537363,0,0,0,0,0,0,0,0,0,0,1,0.666667,0,0,0,0,0.333333,0.5
3647,0.192308,0.398637,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3672,0.230769,0.0394526,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.75
3702,0.5,0.225681,0,0,0,0,0,0.333333,1,0,0,0,0,0,0,0,0,0,0,0.25
3718,0.5,0.140089,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.25
3735,0.230769,0.904538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.25
3825,0.461538,0.133098,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.25
3828,0.346154,0.17753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
9502,0.192308,0.27828,0,0,0,0,0,0.666667,0,0,0,0,0,0,0,0,0,0,0,0
4044,0.384615,0.107736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
4107,0.269231,0.122429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333,0
7456,0.192308,0.152608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4201,0.269231,0.0860803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4411,0.423077,0.0435535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.75
4421,0.230769,0.152608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
931,0.307692,0.0953798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8663,0.307692,0.1255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1302,0.346154,0.115225,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.25
4536,0.576923,0.0372577,0,0,0,0,0,0,0,1,0,0,0,0.166667,0,0,0,0,0,0.25
4539,0.423077,0.138475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
1983,0.153846,0.123636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
4748,0.692308,0.127584,0,0,0,0,0,0.333333,0,0,0,0,0,0,0,0,0,0,0,0
4754,0.153846,0.0807977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
4764,0.692308,0.176327,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0
4781,0.576923,0.098707,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.25
4891,0.653846,0.0649395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4894,0.615385,0.0667659,0,0,0,0,0,0,0,0,0,0,1,0.666667,0,0,0,0,0.333333,0.5
4909,0.307692,0.105395,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.25
4920,0.576923,0.018986,0,0,0,0,0,0,0,0,0,0,0,0.666667,0,0,0,0,0,0.75
7175,0.230769,0.101103,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.25
1046,0.0769231,0.203193,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1065,0.576923,0.072131,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333,0
1065,0.576923,0.072131,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333,0
5147,0.153846,0.156395,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
338,0.153846,0.192846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5267,0.692308,0.0766166,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.75
5304,0.730769,0.0950754,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0
5320,0.153846,0.211624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
5215,0.307692,0.233681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5325,0.307692,0.204113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
5327,0.307692,0.179921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
5329,0.269231,0.219288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
5333,0.153846,0.220378,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5340,0.269231,0.294247,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
1548885,0.576923,0.183266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
5355,0.384615,0.114819,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.25
54677971,0.384615,0.295027,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1,0,0
5405,1,0.0365518,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.333333,0.75
3117,0,0.166915,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
5429,0.115385,0.189397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2153,0.115385,0.189397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5433,0.269231,0.273859,1,0,0,0,0,0.666667,1,0,0,0,0,0,0,0,0,0,0.333333,0
1135,0.0769231,0.17836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
5544,0.615385,0.0987615,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.666667,0.5
5546,0.384615,0.180506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6895,0.153846,0.609716,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5578,0.346154,0.11629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,0.0769231,0.23845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1175,0.115385,0.313561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1188,0.115385,0.289955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
