CID,rank,n_in,ms,dg_2,dg_3,dg_in_2,bd_in_2,na_in_C4,na_ex_C4,na_ex_O2,na_ex_Si4,C4_2_C4_2_2,C4_2_C4_3_2,FC_2_C4_0_H1_1_/_1_/_0_0,FC_9_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_O2_2_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_10_C4_0_/_/_0,LeafAC_C4_C4_1,LeafAC_C4_Si4_1,LeafAC_O2_C4_1
0,0,0.0416667,0,0.05,0,0,0,0.047619,0.222222,0,0,0,0,0,0,0,0.25,0,0
1,0,0.0833333,0.0144048,0.1,0,0,0,0.0952381,0.222222,0,0,0,0,0,0,0,0.25,0,0
2,0,0.125,0.0250518,0.15,0,0.05,0,0.142857,0.222222,0,0,0,0,0,0,0,0.25,0,0
3,0,0.166667,0.0332418,0.2,0,0.1,0,0.190476,0.222222,0,0,0,0,0,0,0,0.25,0,0
4,0,0.208333,0.0397373,0.25,0,0.15,0,0.238095,0.222222,0,0,0,0,0,0,0,0.25,0,0
5,0,0.25,0.0450149,0.3,0,0.2,0,0.285714,0.222222,0,0,0,0,0,0,0,0.25,0,0
6,0,0.291667,0.0493878,0.35,0,0.25,0,0.333333,0.222222,0,0,0,0,0,0,0,0.25,0,0
7,0,0.375,0.0562137,0.45,0,0.35,0,0.428571,0.222222,0,0,0,0,0,0,0,0.25,0,0
8,0,0.458333,0.0612969,0.55,0,0.45,0,0.52381,0.222222,0,0,0,0,0,0,0,0.25,0,0
9,0,0.5,0.063381,0.6,0,0.5,0,0.571429,0.222222,0,0,0,0,0,0,0,0.25,0,0
10,0,0.541667,0.0652291,0.65,0,0.55,0,0.619048,0.222222,0,0,0,0,0,0,0,0.25,0,0
11,0,0.833333,0.0782867,0.8,1,0.9,0,0.952381,0.555556,0,0,0,0,0,0,0,1,0,0
12,0,0,0.0144048,0,0,0,0,0,0.333333,0,0,0,0,0,0,0,0.5,0,0
13,0,0,0.0144048,0,0,0,0,0,0.333333,0,0,0,0,0,0,0,0.5,0,0
14,0,0,0.0250518,0,0,0,0,0,0.388889,0,0,0,0,0,0,0,0.625,0,0
15,0,0.0416667,0.0250518,0.05,0,0,0,0.047619,0.333333,0,0,0,0,0,0,0,0.5,0,0
16,0,0.0833333,0.0250518,0.1,0,0,0,0.0952381,0.277778,0,0,0,0,0,0,0,0.375,0,0
17,0,0.0416667,0.0332418,0,0.25,0,0,0.047619,0.388889,0,0,0,0,0,0,0,0.625,0,0
18,0,0.0416667,0.0332418,0.05,0,0,0,0.047619,0.388889,0,0,0,0,0,0,0,0.625,0,0
19,0,0.0833333,0.0332418,0.05,0.25,0,0,0.0952381,0.333333,0,0,0,0,0,0,0,0.375,0,0
20,0,0.0416667,0.0397373,0.05,0,0,0,0.047619,0.444444,0,0,0,0,0,0,0,0.75,0,0
21,0,0.125,0.0332418,0.15,0,0.05,0,0.142857,0.277778,0,0,0,0,0,0,0,0.375,0,0
22,0,0.166667,0.0397373,0.2,0,0.1,0,0.190476,0.277778,0,0,0,0,0,0,0,0.375,0,0
23,0.5,0.208333,0.0960317,0.25,0,0.25,0,0.238095,0,0,0,0,0,0,0,0,0,0,0
24,0.5,0.25,0.0960317,0.3,0,0.3,0,0.285714,0,0,0,0,0,0,0,0,0,0,0
25,0.5,0.291667,0.0960317,0.35,0,0.35,0,0.333333,0,0,0,0,0,0,0,0,0,0,0
26,0.5,0.333333,0.0960317,0.4,0,0.4,0,0.380952,0,0,0,0,0,0,0,0,0,0,0
27,0.5,0.208333,0.0960317,0.2,0.25,0.25,0,0.238095,0.0555556,0,0,0,0,0,0,0,0.125,0,0
28,0.5,0.208333,0.0960317,0.2,0.25,0.25,0,0.238095,0.111111,0,0,0,0,0,0,0,0.125,0,0
29,0.5,0.25,0.0960317,0.25,0.25,0.2,0,0.285714,0.111111,0,0,0,0,0.1,0,0,0.125,0,0
30,0.5,0.208333,0.0960317,0.2,0.25,0.25,0,0.238095,0.166667,0,0,0,0,0,0,0,0.25,0,0
31,0.5,0.25,0.0960317,0.25,0.25,0.2,0,0.285714,0.166667,0,0,0,0,0.1,0,0,0.25,0,0
32,0.5,0.25,0.0960317,0.25,0.25,0.3,0,0.285714,0.0555556,0,0,0,0,0,0,0,0.125,0,0
33,0.5,0.25,0.0960317,0.2,0.5,0.3,0,0.285714,0.111111,0,0,0,0,0,0,0,0.25,0,0
34,0.5,0.25,0.0960317,0.2,0.5,0.3,0,0.285714,0.111111,0,0,0,0,0,0,0,0.25,0,0
35,0.5,0.291667,0.0960317,0.3,0.25,0.25,0,0.333333,0.111111,0,0,0,0,0.1,0,0,0.125,0,0
36,0.5,0.25,0.0960317,0.25,0.25,0.3,0,0.285714,0.166667,0,0,0,0,0,0,0,0.25,0,0
37,0.5,0.333333,0.0960317,0.35,0.25,0.3,0,0.380952,0.111111,0,0,0,0,0.1,0,0,0.125,0,0
38,0.5,0.291667,0.0960317,0.3,0.25,0.25,0,0.333333,0.166667,0,0,0,0,0.1,0,0,0.25,0,0
39,0.5,0.25,0.0960317,0.25,0.25,0.3,0,0.285714,0.222222,0,0,0,0,0,0,0,0.375,0,0
40,1,0.416667,0.154337,0.4,0.5,0.4,0,0.47619,0,0,0,0,0,0.2,0,0,0,0,0
41,0.5,0.208333,0.221612,0.25,0,0.25,0.166667,0.238095,0,0,0,0.25,0,0.2,0,0,0,0,0
42,0.5,0.208333,0.198065,0.2,0.25,0.25,0,0.238095,0.0555556,0,0,0,0,0,0,0,0,0,0
43,0.5,0.208333,0.198065,0.2,0.25,0.25,0.166667,0.238095,0.0555556,0,0,0.25,0,0.2,0,0,0.125,0,0
44,0.5,0.25,0.198065,0.3,0,0.3,0.166667,0.285714,0,0,0,0.25,0,0.2,0,0,0,0,0
45,0.5,0.25,0.181955,0.25,0.25,0.3,0.166667,0.285714,0.0555556,0,0,0,0.333333,0.1,0,0,0.125,0,0
46,0.5,0.25,0.504167,0.3,0,0.3,0.5,0.285714,0,0,0,0.75,0,0.6,0,0,0,0,0
47,0.5,0.25,0.42254,0.25,0.25,0.3,0.5,0.285714,0.0555556,0,0,0.5,0.333333,0.5,0,0,0.125,0,0
48,0.5,0.25,0.368122,0.2,0.5,0.3,0.5,0.285714,0.111111,0,0,0.25,0.666667,0.4,0,0,0.25,0,0
49,0.5,0.25,0.368122,0.2,0.5,0.3,0.5,0.285714,0.111111,0,0,0.25,0.666667,0.4,0,0,0.25,0,0
50,0.5,0.25,0.368122,0.2,0.5,0.3,0.5,0.285714,0.111111,0,0,0.25,0.666667,0.4,0,0,0.25,0,0
51,0.5,0.25,0.368122,0.25,0.25,0.3,0.5,0.285714,0.111111,0,0,0.5,0.333333,0.5,0,0,0.125,0,0
52,0.5,0.25,0.329252,0.15,0.75,0.3,0.5,0.285714,0.166667,0,0,0.25,0.333333,0.3,0,0,0.375,0,0
53,0.5,0.25,0.329252,0.15,0.75,0.3,0.5,0.285714,0.166667,0,0,0.25,0.333333,0.3,0,0,0.375,0,0
54,0.5,0.25,0.329252,0.15,0.75,0.3,0.5,0.285714,0.166667,0,0,0,1,0.3,0,0,0.375,0,0
55,0.5,0.291667,0.329252,0.3,0.25,0.25,0.5,0.333333,0.111111,0,0,0.5,0.333333,0.5,0,0.5,0.125,0,0
56,0.5,0.25,0.300099,0.2,0.5,0.3,0.5,0.285714,0.222222,0,0,0.5,0,0.4,0,0,0.25,0,0
57,0.5,0.25,0.300099,0.2,0.5,0.3,0.5,0.285714,0.222222,0,0,0.25,0.666667,0.4,0,0,0.25,0,0
58,0.5,0.25,0.300099,0.2,0.5,0.3,0.5,0.285714,0.222222,0,0,0.25,0.666667,0.4,0,0,0.25,0,0
59,0.5,0.333333,0.300099,0.35,0.25,0.3,0.5,0.380952,0.111111,0,0,0.5,0.333333,0.5,0,0.5,0.125,0,0
60,0.5,0.291667,0.300099,0.3,0.25,0.25,0.5,0.333333,0.166667,0,0,0.5,0.333333,0.5,0,0.5,0.25,0,0
61,0.5,0.291667,0.300099,0.25,0.5,0.25,0.5,0.333333,0.166667,0,0,0.5,0.333333,0.5,0,0.5,0.25,0,0
62,0.5,0.25,0.300099,0.25,0.25,0.3,0.5,0.285714,0.222222,0,0,0.5,0.333333,0.5,0,0,0.375,0,0
63,0.5,0.25,0.329252,0.2,0.5,0.3,0.5,0.285714,0.166667,0,0,0.25,0.666667,0.4,0,0,0.25,0,0
64,0.5,0.25,0.329252,0.2,0.5,0.3,0.5,0.285714,0.166667,0,0,0.25,0.666667,0.4,0,0,0.25,0,0
65,0.5,0.25,0.329252,0.2,0.5,0.3,0.5,0.285714,0.166667,0,0,0.25,0.666667,0.4,0,0,0.25,0,0
66,0.5,0.583333,0.212642,0.65,0.25,0.6,0.5,0.666667,0.111111,0,0,0.5,0.333333,0.5,0,0.5,0.125,0,0
67,0.5,0.25,0.504167,0.25,0.25,0.3,0.5,0.285714,0.111111,0,0,0.5,0.333333,0.5,0,0,0,0,0
68,1,0.416667,0.392857,0.4,0.5,0.4,0.5,0.47619,0,0,0,0.25,0.666667,0.4,0,1,0,0,0
73,0,0.0416667,0.155397,0.05,0,0,0,0.047619,0.166667,0.25,0,0,0,0,0,0,0.125,0,0.5
74,0,0,0.155397,0,0,0,0,0,0.222222,0.25,0,0,0,0,0,0,0.25,0,0.5
75,0,0,0.155397,0,0,0,0,0,0.222222,0.25,0,0,0,0,0,0,0.25,0,0.5
76,0,0,0.155397,0,0,0,0,0,0.222222,0.25,0,0,0,0,0,0,0.375,0,0.5
77,0,0.0833333,0.145503,0.1,0,0,0,0.0952381,0.166667,0.25,0,0,0,0,0.5,0,0.125,0,0.5
78,0,0.0416667,0.145503,0.05,0,0,0,0.047619,0.222222,0.25,0,0,0,0,0,0,0.25,0,0.5
79,0,0.125,0.138435,0.15,0,0.05,0,0.142857,0.166667,0.25,0,0,0,0,0.5,0,0.125,0,0.5
80,0,0.0416667,0.138435,0.05,0,0,0,0.047619,0.277778,0.25,0,0,0,0,0,0,0.375,0,0.5
81,0,0.0416667,0.138435,0,0.25,0,0,0.047619,0.277778,0.25,0,0,0,0,0,0,0.25,0,0.5
82,0,0.166667,0.133135,0.2,0,0.1,0,0.190476,0.166667,0.25,0,0,0,0,0.5,0,0.125,0,0.5
83,0,0.208333,0.129012,0.25,0,0.15,0,0.238095,0.166667,0.25,0,0,0,0,0.5,0,0.125,0,0.5
84,0,0.125,0.129012,0.1,0.25,0.05,0,0.142857,0.277778,0.25,0,0,0,0,0,0,0.25,0,0.5
85,0,0.25,0.125714,0.3,0,0.2,0,0.285714,0.166667,0.25,0,0,0,0,0.5,0,0.125,0,0.5
86,0,0.291667,0.123016,0.35,0,0.25,0,0.333333,0.166667,0.25,0,0,0,0,0.5,0,0.125,0,0.5
87,0,0.333333,0.120767,0.4,0,0.3,0,0.380952,0.166667,0.25,0,0,0,0,0.5,0,0.125,0,0.5
88,0,0.375,0.118864,0.45,0,0.35,0,0.428571,0.166667,0.25,0,0,0,0,0.5,0,0.125,0,0.5
92,0.5,0.25,0.228822,0.25,0.25,0.3,0,0.285714,0,0.25,0,0,0,0,0,0,0,0,0.5
93,0.5,0.291667,0.210714,0.3,0.25,0.35,0,0.333333,0,0.25,0,0,0,0,0,0,0,0,0.5
94,0.5,0.25,0.559821,0.25,0.25,0.3,0.5,0.285714,0.0555556,0.25,0,0.5,0.333333,0.5,0,0,0,0,0.5
95,0.5,0.291667,0.433333,0.25,0.5,0.25,0.5,0.333333,0.111111,0.25,0,0.5,0.333333,0.5,0,0.5,0.125,0,0.5
96,0.5,0.25,0.559821,0.2,0.5,0.3,0.5,0.285714,0.0555556,0.25,0,0.25,0.666667,0.4,0,0,0.125,0,0.5
100,0,0.0416667,0.309375,0.05,0,0,0,0.047619,0.166667,0.5,0,0,0,0,0,0,0.125,0,1
101,0,0.125,0.445238,0.15,0,0.05,0,0.0952381,0.111111,0.5,0,0,0,0,1,0,0,0,1
102,0,0.0833333,0.309375,0.1,0,0,0,0.047619,0.166667,0.25,0,0,0,0,0.5,0,0.125,0,0.5
103,0,0.0416667,0.309375,0.05,0,0,0,0.047619,0.166667,0.5,0,0,0,0,0,0,0.125,0,0.5
104,0,0.125,0.275689,0.15,0,0.05,0,0.0952381,0.166667,0.25,0,0,0,0,0.5,0,0.125,0,0.5
105,0,0.166667,0.25119,0.2,0,0.1,0,0.142857,0.166667,0.25,0,0,0,0,0.5,0,0.125,0,0.5
106,0,0.208333,0.354141,0.25,0,0.15,0,0.142857,0.166667,0.25,0,0,0,0,0.5,0,0.125,0,0.5
107,0,0.291667,0.409347,0.35,0,0.25,0,0.238095,0.111111,0.5,0,0,0,0,0.5,0,0,0,0.5
108,0,0.25,0.217942,0.3,0,0.2,0,0.238095,0.166667,0.25,0,0,0,0,0.5,0,0.125,0,0.5
109,0,0.291667,0.300739,0.35,0,0.25,0,0.238095,0.166667,0.25,0,0,0,0,0.5,0,0.125,0,0.5
110,0,0.25,0.448512,0.3,0,0.2,0,0.190476,0.111111,0.5,0,0,0,0,1,0,0,0,1
111,0,0.375,0.265646,0.45,0,0.35,0,0.333333,0.166667,0.25,0,0,0,0,0.5,0,0.125,0,0.5
112,0,0.416667,0.331019,0.5,0,0.4,0,0.333333,0.166667,0.25,0,0,0,0,0.5,0,0.125,0,0.5
113,0,0.125,0.627193,0.1,0.25,0.05,0,0.0952381,0.166667,0.75,0,0,0,0,0,0,0.125,0,1
114,0,0.0416667,0.155397,0.05,0,0,0,0,0.222222,0,0,0,0,0,0,0,0.25,0,0
115,0,0.0833333,0.145503,0.1,0,0,0,0.0952381,0.166667,0.25,0,0,0,0,0,0,0.125,0,0
116,0,0,0.145503,0,0,0,0,0,0.277778,0.25,0,0,0,0,0,0,0.375,0,0
117,0,0.0833333,0.145503,0.1,0,0,0,0.047619,0.222222,0,0,0,0,0,0,0,0.25,0,0
118,0,0.125,0.138435,0.15,0,0.05,0,0.0952381,0.222222,0,0,0,0,0,0,0,0.25,0,0
119,0,0.0416667,0.138435,0.05,0,0,0,0,0.333333,0,0,0,0,0,0,0,0.5,0,0
120,0,0.125,0.138435,0.15,0,0.05,0,0.142857,0.166667,0.25,0,0,0,0,0,0,0.125,0,0
121,0,0.125,0.138435,0.15,0,0.05,0,0.0952381,0.222222,0,0,0,0,0,0,0,0.25,0,0
122,0,0.208333,0.129012,0.25,0,0.15,0,0.190476,0.222222,0,0,0,0,0,0,0,0.25,0,0
123,0,0.291667,0.123016,0.35,0,0.25,0,0.285714,0.222222,0,0,0,0,0,0,0,0.25,0,0
124,0,0.375,0.118864,0.45,0,0.35,0,0.380952,0.222222,0,0,0,0,0,0,0,0.25,0,0
125,1,0.625,0.577094,0.65,0.5,0.65,1,0.666667,0,0,0,1,0.666667,1,0,1,0,0,0
127,0.5,0.208333,0.739153,0.25,0,0.25,0.333333,0.190476,0,0,0,0.5,0,0.4,0,0,0,0,0
128,0.5,0.208333,0.29011,0.25,0,0.25,0,0.190476,0,0,0,0,0,0,0,0,0,0,0
129,0,0.0833333,0.309375,0.1,0,0,0,0.0952381,0.111111,0.5,0,0,0,0,0,0,0,0,0
130,0.5,0.25,0.456463,0.3,0,0.3,0,0.190476,0,0,0,0,0,0,0,0,0,0,0
131,0,0.208333,0.354141,0.25,0,0.15,0,0.190476,0.111111,0.5,0,0,0,0,0,0,0,0,0
132,0,0.458333,0.392857,0.55,0,0.45,0,0.380952,0.111111,0.5,0,0,0,0,0,0,0,0,0
